RTIF ID,Abbreviation
101,242
102,240
103,238
104,231
105,BXM
106,225
107,215
108,207
109,DYK
110,191
111,181
112,168
113,157
114,145
115,137
116,125
117,116
118,110
119,103
120,96S
121,86S
122,79S
123,72S
124,66S
125,59S
126,50S
127,TSQ
128,34S
129,28S
130,23S
131,18S
132,14S
133,CHR
134,HOU
135,CAN
136,FKS
137,CHB
138,CDT
139,REC
140,SFY
141,59B
142,SFT
201,241
202,239
203,239
204,238
205,233
206,225
207,219
208,GHW
209,BKE
210,ALL
211,PPW
212,BPE
213,180
214,ETR
215,174
216,FRE
217,SIM
218,INT
219,PRO
220,JAX
221,3RD
222,14G
223,HRT
224,135
225,125
226,116
227,110
228,PKP
229,FUL
230,WAL
231,CLK
232,BHL
233,HOY
234,NEV
235,ATL
236,BER
237,GAP
238,BKM
239,FKN
240,NJC
241,PRE
242,STE
243,WIN
244,CHU
245,BEV
246,NWK
247,FLA
248,NOS
249,KIN
250,UTI
251,SUT
252,SAR
253,RKA
254,JUN
255,PEN
256,VAN
257,NLT
258,LIY
260,108
261,180
270,CKS
301,148
302,145
303,14Y
401,WDL
402,MOS
403,JRY
404,205
405,BPK
406,KGB
407,FDM
408,183
409,BUR
410,176
411,MTE
412,170
413,167
414,161
415,MOT
416,138
417,JRT
418,FUL
419,WAL
420,BWG
422,JRT
423,BHL
501,DYR
502,BAY
503,GHD
504,PPD
505,MPA
601,PEL
602,BUH
603,MID
604,WSQ
605,WSY
606,ZER
607,CAS
608,177
609,SLW
610,SDV
611,ELA
612,WHI
613,HPT
614,LON
615,149
616,143
617,CYA
618,BRK
619,3AB
620,PLH
621,125
622,116
623,110
624,103
625,96S
626,86S
627,77S
628,68S
629,59S
630,51S
631,GC
632,33S
633,28S
634,23S
635,14S
636,ASP
637,BLE
638,SPG
639,CAN
640,BBR
701,MST
702,WPT
703,COR
705,111
706,103
707,JCT
708,90S
709,82S
710,74S
711,69S
712,61S
713,52S
714,46B
715,40S
716,RAW
718,QBP
719,CHS
720,HTR
721,VER
722,STT
723,G-C
724,5AV
725,TSQ
726,34H
731,1AV
901,GCS
902,TSS
A01,AYD
A02,207
A03,200
A05,190
A06,181
A07,175
A08,17Y
A09,168
A10,163
A11,155
A12,145
A14,135
A15,125
A16,116
A17,110
A18,103
A19,96S
A20,86S
A21,81S
A22,72S
A24,59S
A25,50S
A27,42S
A28,34S
A29,30T
A30,23S
A31,14S
A32,WE4
A33,SPG
A34,CAN
A36,CHB
A38,BWN
A39,CBT
A40,HIG
A41,JAY
A42,HYS
A43,LAF
A44,CLW
A45,FKN
A46,NOS
A47,KTH
A48,UTI
A49,RAL
A50,RKA
A51,BEN
A52,LIB
A53,VAN
A54,SHP
A55,EUC
A56,PIT
A57,GRT
A58,BQA
A59,HUD
A60,BOY
A61,RKB
A62,LIJ
A63,OXF
A64,GRN
A65,LEF
B04,21S
B05,63W
B06,ROI
B08,LEX
B10,576
B12,9AV
B13,FTH
B14,50S
B15,55S
B16,62S
B17,71S
B18,79S
B19,18A
B20,20A
B21,BPY
B22,25A
B23,B50
B24,STL
D01,205
D02,CCY
D03,BPK
D04,KGB
D05,FDM
D06,182
D07,TRE
D08,174
D09,170
D10,167
D11,161
D12,155
D13,145
D14,7AM
D15,47S
D16,42S
D17,34S
D18,23S
D19,14S
D20,WE4
D21,BLF
D22,GRS
D23,MBD
D24,ATL
D25,7AB
D26,PPK
D27,PKS
D28,CHU
D29,BEV
D30,COR
D31,NWK
D32,AVH
D33,AVJ
D34,AVM
D35,KHY
D37,AVU
D38,NEC
D39,SHB
D40,BBC
D41,OCN
D42,WE8
D43,STL
D44,CIY
D60,16T
E01,WTC
F01,179
F02,169
F03,PAR
F04,STP
F05,VWY
F06,KEW
F07,75A
F08,JAM
F09,ELY
F10,53T
F11,LEX
F12,5AV
F14,2AV
F15,DEL
F16,EBW
F17,MBF
F18,YOR
F20,BER
F21,CAR
F22,SM9
F23,4AV
F24,7AB
F25,PPW
F26,FTH
F27,CHU
F28,CUT
F29,DMS
F30,18A
F31,AVI
F32,22A
F33,AVN
